,ids,pvalue_less,pvalue_greater
842,3334,0.4856,1.0
843,3335,1.0,0.52
844,3336,0.0001,1.0
845,3337,0.0637,1.0
846,3338,0.0001,1.0
847,3339,1.0,1.0
848,3340,0.0001,1.0
849,3341,1.0,1.0
850,3342,1.0,1.0
851,3343,1.0,0.5193
852,3344,1.0,1.0
853,3345,0.0001,1.0
854,3346,1.0,1.0
855,3347,1.0,1.0
856,3348,1.0,1.0
857,3349,1.0,0.0001
858,3350,1.0,0.0001
859,3351,1.0,0.0006
860,3352,1.0,0.0001
861,3353,0.4741,1.0
862,3354,0.0001,1.0
863,3355,0.0076,0.9968
864,3356,0.0046,0.9987
865,3357,1.0,1.0
866,3358,1.0,0.0001
867,3359,0.0001,1.0
868,3360,1.0,1.0
869,3361,1.0,1.0
870,3362,1.0,1.0
871,3363,1.0,0.0002
872,3364,1.0,1.0
873,3365,1.0,1.0
874,3366,1.0,0.0027
875,3367,1.0,1.0
876,3368,1.0,0.0001
877,3369,1.0,0.0001
878,3370,1.0,1.0
879,3371,1.0,1.0
880,3372,1.0,0.0001
881,3373,0.9965,0.0262
882,3374,1.0,1.0
883,3375,1.0,0.0001
884,3376,1.0,0.5098
885,3377,1.0,1.0
886,3378,1.0,0.5096
887,3379,1.0,0.0001
888,3380,1.0,1.0
889,3381,0.0001,1.0
890,3382,0.0001,1.0
891,3383,0.0001,1.0
892,3384,0.0225,0.9826
893,3385,1.0,1.0
894,3386,0.0001,1.0
895,3387,1.0,1.0
896,3388,1.0,1.0
897,3389,1.0,1.0
898,3390,1.0,1.0
899,3391,1.0,1.0
900,3392,1.0,1.0
901,3393,1.0,1.0
902,3394,1.0,1.0
903,3395,0.0001,1.0
904,3396,1.0,1.0
905,3397,1.0,1.0
906,3398,1.0,1.0
907,3399,1.0,1.0
908,3401,1.0,1.0
909,3402,1.0,0.0001
910,3411,1.0,1.0
911,3439,1.0,1.0
912,3441,1.0,1.0
913,3450,1.0,1.0
914,3453,1.0,0.1193
915,3488,1.0,1.0
916,3499,0.0001,1.0
917,3510,1.0,1.0
918,3512,0.2722,1.0
919,3517,1.0,0.0001
920,3521,1.0,1.0
921,3529,1.0,1.0
922,3541,1.0,1.0
923,3555,0.0125,1.0
924,3574,1.0,1.0
925,3579,1.0,1.0
926,3585,1.0,0.0001
927,3586,1.0,0.5246
928,3593,0.164,0.9129
929,3599,0.0001,1.0
930,3609,0.9993,0.0036
931,3619,1.0,0.0001
932,3642,1.0,1.0
933,3652,0.8756,0.4937
934,3653,1.0,1.0
935,3655,1.0,1.0
936,3656,1.0,1.0
937,3658,1.0,1.0
938,3660,1.0,0.0001
939,3661,1.0,1.0
940,3662,1.0,0.4851
941,3663,1.0,0.0001
942,3664,1.0,0.0001
943,3665,1.0,1.0
944,3666,1.0,1.0
945,3667,0.5332,1.0
946,3668,1.0,1.0
947,3669,1.0,1.0
948,3670,1.0,1.0
949,3671,0.0001,1.0
950,3672,1.0,1.0
951,3673,1.0,1.0
952,3674,1.0,1.0
953,3676,0.278,0.9521
954,3678,1.0,0.2485
955,3680,1.0,0.2438
956,3681,1.0,1.0
957,3682,0.0001,1.0
958,3683,1.0,0.0001
959,3684,1.0,0.5268
960,3685,0.0001,1.0
961,3686,0.0504,0.9729
962,3687,1.0,1.0
963,3688,0.0001,1.0
964,3689,0.0003,0.9999
965,3690,0.0001,1.0
966,3691,1.0,1.0
967,3692,1.0,0.0064
968,3693,1.0,1.0
969,3694,0.0001,1.0
970,3695,0.3145,0.9082
971,3696,1.0,1.0
972,3697,1.0,1.0
973,3698,0.8859,0.2045
974,3699,1.0,1.0
975,3700,0.576,0.5986
976,3701,0.0003,1.0
977,3702,1.0,1.0
978,3703,0.6886,0.4137
979,3704,1.0,1.0
980,3705,1.0,1.0
981,3706,0.0001,1.0
982,3707,1.0,1.0
983,3708,1.0,1.0
984,3709,1.0,1.0
985,3710,0.0002,1.0
986,3711,0.0339,0.9829
987,3712,0.0212,0.9871
988,3713,0.0029,1.0
989,3714,1.0,0.0001
990,3715,1.0,0.4997
991,3716,0.2613,1.0
992,3717,1.0,0.0001
993,3718,1.0,0.1271
994,3719,1.0,1.0
995,3720,1.0,1.0
996,3721,1.0,0.2829
997,3722,0.0001,1.0
998,3723,1.0,1.0
999,3724,1.0,0.0001
1000,3725,1.0,0.0001
1001,3726,1.0,0.0001
1002,3727,1.0,1.0
1003,3728,1.0,0.0001
1004,3729,1.0,1.0
1005,3730,1.0,0.01
1006,3731,1.0,1.0
1007,3732,1.0,0.0001
1008,3733,0.7921,0.3096
1009,3734,1.0,1.0
1010,3735,0.0004,0.9997
1011,3736,1.0,1.0
1012,3737,0.0001,1.0
1013,3738,0.5116,1.0
1014,3739,0.0003,1.0
1015,3740,1.0,0.0002
1016,3741,1.0,1.0
1017,3742,1.0,0.0001
1018,3743,0.2555,0.9
1019,3744,1.0,0.0001
1020,3745,1.0,1.0
1021,3746,1.0,1.0
1022,3747,1.0,1.0
1023,3748,1.0,0.2395
1024,3749,1.0,1.0
1025,3750,1.0,0.0001
1026,3751,1.0,1.0
1027,3752,0.4752,1.0
1028,3753,1.0,1.0
1029,3754,1.0,0.0001
1030,3755,1.0,1.0
