ids,pvalue_less,pvalue_greater
2041,1.0,0.017982017982017984
2042,1.0,0.000999000999000999
2043,1.0,1.0
2044,0.997002997002997,0.00999000999000999
2045,0.07092907092907093,1.0
2046,1.0,1.0
2047,1.0,0.1038961038961039
2048,1.0,0.000999000999000999
2049,1.0,0.000999000999000999
2050,1.0,0.000999000999000999
2051,1.0,1.0
2052,1.0,0.5154845154845155
2053,1.0,0.000999000999000999
2054,0.04795204795204795,0.994005994005994
2055,1.0,1.0
2056,1.0,0.004995004995004995
2057,0.7692307692307693,0.3356643356643357
2058,1.0,1.0
2059,1.0,1.0
2060,1.0,0.000999000999000999
2061,1.0,0.000999000999000999
2062,0.16183816183816183,0.9500499500499501
2063,0.000999000999000999,1.0
2064,0.999000999000999,0.002997002997002997
2065,1.0,1.0
2066,1.0,0.08591408591408592
2067,1.0,1.0
2068,0.000999000999000999,1.0
2069,1.0,1.0
2070,1.0,0.000999000999000999
2071,1.0,0.000999000999000999
2072,1.0,1.0
2073,0.000999000999000999,1.0
2074,0.25274725274725274,1.0
2075,1.0,1.0
2076,1.0,0.000999000999000999
2078,1.0,1.0
2079,1.0,1.0
2080,1.0,0.03196803196803197
2081,1.0,1.0
2082,1.0,1.0
2083,0.000999000999000999,1.0
2084,1.0,0.000999000999000999
2085,1.0,1.0
2086,1.0,1.0
2087,1.0,1.0
2088,1.0,1.0
2089,1.0,0.000999000999000999
2090,1.0,1.0
2091,1.0,1.0
2092,0.000999000999000999,1.0
2093,1.0,0.000999000999000999
2095,1.0,0.000999000999000999
2096,0.000999000999000999,1.0
2097,0.000999000999000999,1.0
2098,1.0,0.000999000999000999
2099,1.0,1.0
2100,1.0,1.0
2101,0.995004995004995,0.01898101898101898
2102,0.016983016983016984,1.0
2103,0.000999000999000999,1.0
2104,1.0,0.000999000999000999
2105,1.0,0.000999000999000999
2106,1.0,1.0
2107,1.0,0.2597402597402597
2108,1.0,0.058941058941058944
2109,0.000999000999000999,1.0
2110,1.0,0.000999000999000999
2111,1.0,1.0
2112,0.23676323676323677,1.0
2117,0.9410589410589411,0.1888111888111888
2128,0.000999000999000999,1.0
2156,1.0,1.0
2158,1.0,1.0
2182,1.0,0.000999000999000999
2184,1.0,1.0
2187,1.0,0.000999000999000999
2202,1.0,0.000999000999000999
2208,1.0,1.0
2218,1.0,0.000999000999000999
2231,0.000999000999000999,1.0
2243,1.0,0.26373626373626374
2244,0.9280719280719281,0.31868131868131866
2245,1.0,0.000999000999000999
2250,1.0,1.0
2259,0.7902097902097902,0.26673326673326675
2262,1.0,1.0
2266,1.0,0.000999000999000999
2278,1.0,1.0
2293,1.0,1.0
2294,1.0,0.000999000999000999
2298,1.0,1.0
2318,1.0,0.000999000999000999
2321,1.0,1.0
2347,1.0,1.0
2366,0.5334665334665335,1.0
2367,1.0,0.000999000999000999
2368,1.0,1.0
2378,1.0,1.0
2379,1.0,1.0
2381,1.0,0.000999000999000999
2383,1.0,0.000999000999000999
2384,1.0,1.0
2386,1.0,1.0
2387,0.000999000999000999,1.0
2388,1.0,1.0
2389,0.000999000999000999,1.0
2390,1.0,1.0
2391,1.0,0.22377622377622378
2392,1.0,1.0
2393,1.0,0.5184815184815185
2394,0.000999000999000999,1.0
2395,0.5044955044955045,1.0
2396,0.46653346653346656,1.0
2397,0.000999000999000999,1.0
2398,0.9250749250749251,0.08591408591408592
2402,1.0,1.0
2403,1.0,0.000999000999000999
2404,1.0,0.000999000999000999
2405,1.0,1.0
2408,0.029970029970029972,1.0
2409,0.000999000999000999,1.0
2410,1.0,0.000999000999000999
2411,1.0,0.47952047952047955
2412,1.0,0.000999000999000999
2413,0.001998001998001998,1.0
2414,1.0,1.0
2415,1.0,0.5154845154845155
2416,1.0,0.000999000999000999
2417,0.000999000999000999,1.0
2418,1.0,1.0
2419,1.0,0.000999000999000999
2420,1.0,0.000999000999000999
2421,1.0,1.0
2422,1.0,0.000999000999000999
2423,0.999000999000999,0.002997002997002997
2424,1.0,0.24975024975024976
2425,1.0,0.000999000999000999
2426,1.0,1.0
2427,0.001998001998001998,1.0
2428,1.0,0.000999000999000999
2429,1.0,0.4775224775224775
2430,0.000999000999000999,1.0
2431,0.003996003996003996,1.0
2432,1.0,0.000999000999000999
2433,1.0,0.4985014985014985
2434,0.000999000999000999,1.0
2435,1.0,0.000999000999000999
2436,1.0,0.011988011988011988
2437,1.0,0.022977022977022976
2438,1.0,1.0
2439,1.0,0.4965034965034965
2440,1.0,1.0
2441,1.0,1.0
2442,1.0,1.0
2443,1.0,0.25374625374625376
2444,0.000999000999000999,1.0
2445,1.0,1.0
2446,1.0,1.0
2447,1.0,0.000999000999000999
2448,0.000999000999000999,1.0
2449,1.0,0.000999000999000999
2451,0.7982017982017982,0.5244755244755245
2452,1.0,1.0
2453,1.0,0.000999000999000999
2454,1.0,1.0
2455,1.0,1.0
2456,0.000999000999000999,1.0
2457,1.0,1.0
2458,0.000999000999000999,1.0
2459,1.0,0.000999000999000999
2460,1.0,0.000999000999000999
2461,0.11688311688311688,0.965034965034965
2462,0.000999000999000999,1.0
2463,0.000999000999000999,1.0
2464,1.0,1.0
2465,0.000999000999000999,1.0
2466,1.0,0.000999000999000999
2467,1.0,1.0
2468,1.0,1.0
2469,1.0,1.0
2471,1.0,0.012987012987012988
2472,0.000999000999000999,1.0
2473,1.0,0.01998001998001998
2474,1.0,0.000999000999000999
2475,1.0,1.0
2476,1.0,1.0
2477,0.004995004995004995,0.997002997002997
2478,1.0,1.0
2479,1.0,0.000999000999000999
2480,1.0,0.002997002997002997
2481,1.0,0.000999000999000999
2482,1.0,0.000999000999000999
2483,1.0,1.0
2484,1.0,0.000999000999000999
2485,1.0,0.000999000999000999
2486,1.0,0.000999000999000999
2487,1.0,0.000999000999000999
2488,1.0,0.000999000999000999
2489,1.0,1.0
2490,1.0,1.0
2491,1.0,1.0
2492,1.0,1.0
2493,1.0,1.0
2494,1.0,1.0
2495,1.0,1.0
2496,1.0,1.0
2497,0.000999000999000999,1.0
2498,1.0,0.000999000999000999
2499,1.0,1.0
2500,1.0,1.0
2501,1.0,1.0
2502,1.0,0.000999000999000999
2503,1.0,1.0
